company_id,sector,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,fcf_cagr_5yr,fcf_conversion_pct,distress_flag,deleveraging_flag,capital_allocation_label
53,Consumer Durables,1.02,High Quality,5.79,Moderate,0.0,101.71,False,False,Balanced Capital Allocator
54,Chemicals,1.0,Moderate,9.41,Capital Intensive,33.51,99.89,False,True,Deleveraging
55,IT,0.79,Moderate,5.55,Moderate,0.0,78.67,False,False,Balanced Capital Allocator
56,Banking,1.1,High Quality,10.05,Capital Intensive,0.0,109.69,False,False,Heavy Reinvestor
57,Pharma,0.94,Moderate,8.97,Capital Intensive,0.0,94.04,False,False,Heavy Reinvestor
58,Auto,0.83,Moderate,9.04,Capital Intensive,0.0,83.22,False,True,Deleveraging
59,FMCG,0.94,Moderate,8.8,Capital Intensive,0.0,94.12,False,True,Deleveraging
60,Metals,0.98,Moderate,8.64,Capital Intensive,17.04,98.49,False,False,Heavy Reinvestor
61,Energy,0.72,Moderate,5.83,Moderate,47.9,71.8,False,False,Balanced Capital Allocator
62,Telecom,0.67,Moderate,2.44,Asset Light,-9.85,67.2,False,False,Balanced Capital Allocator
63,Capital Goods,0.8,Moderate,2.65,Asset Light,27.87,79.59,False,True,Deleveraging
64,Consumer Durables,0.91,Moderate,6.7,Moderate,228.18,90.73,False,True,Deleveraging
65,Chemicals,0.78,Moderate,5.2,Moderate,-36.74,77.87,False,True,Deleveraging
66,IT,0.86,Moderate,8.1,Capital Intensive,-25.09,85.51,False,False,Heavy Reinvestor
67,Banking,1.03,High Quality,9.06,Capital Intensive,47.21,102.79,False,False,Heavy Reinvestor
68,Pharma,0.81,Moderate,9.2,Capital Intensive,0.0,81.2,False,False,Heavy Reinvestor
69,Auto,0.89,Moderate,8.44,Capital Intensive,-23.86,89.36,False,True,Deleveraging
70,FMCG,0.77,Moderate,9.64,Capital Intensive,0.0,77.34,False,False,Heavy Reinvestor
71,Metals,1.07,High Quality,9.02,Capital Intensive,69.42,106.89,False,False,Heavy Reinvestor
72,Energy,0.91,Moderate,8.3,Capital Intensive,-2.91,90.78,False,True,Deleveraging
73,Telecom,0.96,Moderate,10.46,Capital Intensive,0.0,96.16,False,True,Deleveraging
74,Capital Goods,0.78,Moderate,10.68,Capital Intensive,0.0,77.85,False,True,Deleveraging
75,Consumer Durables,0.95,Moderate,9.73,Capital Intensive,0.0,95.09,False,True,Deleveraging
76,Chemicals,0.83,Moderate,5.7,Moderate,0.0,83.47,False,False,Balanced Capital Allocator
77,IT,0.99,Moderate,9.24,Capital Intensive,0.0,99.22,False,True,Deleveraging
78,Banking,0.99,Moderate,8.31,Capital Intensive,0.0,99.32,False,True,Deleveraging
79,Pharma,0.86,Moderate,8.99,Capital Intensive,-4.96,85.84,False,False,Heavy Reinvestor
80,Auto,1.04,High Quality,10.41,Capital Intensive,0.0,104.29,False,True,Deleveraging
81,FMCG,1.06,High Quality,11.46,Capital Intensive,0.0,106.38,False,True,Deleveraging
82,Metals,0.85,Moderate,4.73,Moderate,-20.76,85.16,False,False,Balanced Capital Allocator
83,Energy,0.73,Moderate,1.56,Asset Light,0.0,72.67,False,False,Balanced Capital Allocator
84,Telecom,0.86,Moderate,2.56,Asset Light,-21.09,86.26,False,False,Balanced Capital Allocator
85,Capital Goods,1.06,High Quality,4.51,Moderate,98.0,105.87,False,False,Balanced Capital Allocator
86,Consumer Durables,0.76,Moderate,6.56,Moderate,0.0,76.21,False,False,Balanced Capital Allocator
87,Chemicals,1.13,High Quality,5.84,Moderate,8.08,113.26,False,True,Deleveraging
88,IT,0.82,Moderate,6.97,Moderate,34.27,82.0,False,True,Deleveraging
89,Banking,1.06,High Quality,5.48,Moderate,0.0,105.84,False,True,Deleveraging
90,Pharma,0.97,Moderate,11.98,Capital Intensive,0.0,96.66,False,False,Heavy Reinvestor
91,Auto,0.99,Moderate,1.8,Asset Light,-18.43,99.46,False,False,Balanced Capital Allocator
92,FMCG,0.87,Moderate,7.44,Moderate,24.24,86.7,False,False,Balanced Capital Allocator
