company_id,metric_type,period_years,value_pct
10,roe,5,16.3
10,roe,3,14.6
11,compounded_sales_growth,10,7.8
11,compounded_sales_growth,5,9.0
11,compounded_sales_growth,3,7.3
11,compounded_profit_growth,10,16.4
11,compounded_profit_growth,5,17.6
11,compounded_profit_growth,3,15.9
11,stock_price_cagr,10,5.8
11,stock_price_cagr,5,7.0
11,stock_price_cagr,3,5.3
11,roe,10,25.9
11,roe,5,27.1
11,roe,3,25.4
12,compounded_sales_growth,10,11.0
12,compounded_sales_growth,5,12.2
12,compounded_sales_growth,3,10.5
12,compounded_profit_growth,10,20.2
12,compounded_profit_growth,5,21.4
12,compounded_profit_growth,3,19.7
12,stock_price_cagr,10,12.2
12,stock_price_cagr,5,13.4
12,stock_price_cagr,3,11.7
12,roe,10,17.0
12,roe,5,18.2
12,roe,3,16.5
13,compounded_sales_growth,10,17.6
13,compounded_sales_growth,5,18.8
13,compounded_sales_growth,3,17.1
13,compounded_profit_growth,10,9.3
13,compounded_profit_growth,5,10.5
13,compounded_profit_growth,3,8.8
13,stock_price_cagr,10,27.3
13,stock_price_cagr,5,28.5
13,stock_price_cagr,3,26.8
13,roe,10,22.8
13,roe,5,24.0
13,roe,3,22.3
14,compounded_sales_growth,10,26.6
14,compounded_sales_growth,5,27.8
14,compounded_sales_growth,3,26.1
14,compounded_profit_growth,10,25.6
14,compounded_profit_growth,5,26.8
14,compounded_profit_growth,3,25.1
14,stock_price_cagr,10,18.8
14,stock_price_cagr,5,20.0
14,stock_price_cagr,3,18.3
14,roe,10,26.2
14,roe,5,27.4
14,roe,3,25.7
15,compounded_sales_growth,10,7.0
15,compounded_sales_growth,5,8.2
15,compounded_sales_growth,3,6.5
15,compounded_profit_growth,10,9.5
15,compounded_profit_growth,5,10.7
15,compounded_profit_growth,3,9.0
15,stock_price_cagr,10,6.0
15,stock_price_cagr,5,7.2
15,stock_price_cagr,3,5.5
15,roe,10,12.5
15,roe,5,13.7
15,roe,3,12.0
16,compounded_sales_growth,10,13.9
16,compounded_sales_growth,5,15.1
16,compounded_sales_growth,3,13.4
16,compounded_profit_growth,10,11.2
16,compounded_profit_growth,5,12.4
16,compounded_profit_growth,3,10.7
16,stock_price_cagr,10,24.1
16,stock_price_cagr,5,25.3
16,stock_price_cagr,3,23.6
16,roe,10,13.2
16,roe,5,14.4
16,roe,3,12.7
17,compounded_sales_growth,10,11.5
17,compounded_sales_growth,5,12.7
17,compounded_sales_growth,3,11.0
17,compounded_profit_growth,10,17.5
17,compounded_profit_growth,5,18.7
17,compounded_profit_growth,3,17.0
17,stock_price_cagr,10,8.2
17,stock_price_cagr,5,9.4
17,stock_price_cagr,3,7.7
17,roe,10,23.5
17,roe,5,24.7
17,roe,3,23.0
18,compounded_sales_growth,10,6.7
18,compounded_sales_growth,5,7.9
18,compounded_sales_growth,3,6.2
18,compounded_profit_growth,10,27.7
18,compounded_profit_growth,5,28.9
18,compounded_profit_growth,3,27.2
18,stock_price_cagr,10,22.8
18,stock_price_cagr,5,24.0
18,stock_price_cagr,3,22.3
18,roe,10,9.6
18,roe,5,10.8
18,roe,3,9.1
19,compounded_sales_growth,10,5.1
19,compounded_sales_growth,5,6.3
19,compounded_sales_growth,3,4.6
19,compounded_profit_growth,10,23.8
19,compounded_profit_growth,5,25.0
19,compounded_profit_growth,3,23.3
19,stock_price_cagr,10,21.3
19,stock_price_cagr,5,22.5
19,stock_price_cagr,3,20.8
19,roe,10,21.8
19,roe,5,23.0
19,roe,3,21.3
20,compounded_sales_growth,10,22.7
20,compounded_sales_growth,5,23.9
20,compounded_sales_growth,3,22.2
20,compounded_profit_growth,10,6.7
20,compounded_profit_growth,5,7.9
20,compounded_profit_growth,3,6.2
20,stock_price_cagr,10,13.2
20,stock_price_cagr,5,14.4
20,stock_price_cagr,3,12.7
20,roe,10,7.7
20,roe,5,8.9
20,roe,3,7.2
21,compounded_sales_growth,10,24.9
21,compounded_sales_growth,5,26.1
21,compounded_sales_growth,3,24.4
21,compounded_profit_growth,10,19.3
21,compounded_profit_growth,5,20.5
21,compounded_profit_growth,3,18.8
21,stock_price_cagr,10,12.6
21,stock_price_cagr,5,13.8
21,stock_price_cagr,3,12.1
21,roe,10,6.5
21,roe,5,7.7
21,roe,3,6.0
22,compounded_sales_growth,10,12.2
22,compounded_sales_growth,5,13.4
22,compounded_sales_growth,3,11.7
22,compounded_profit_growth,10,12.5
22,compounded_profit_growth,5,13.7
22,compounded_profit_growth,3,12.0
22,stock_price_cagr,10,21.8
22,stock_price_cagr,5,23.0
22,stock_price_cagr,3,21.3
22,roe,10,19.7
22,roe,5,20.9
22,roe,3,19.2
23,compounded_sales_growth,10,25.4
23,compounded_sales_growth,5,26.6
23,compounded_sales_growth,3,24.9
23,compounded_profit_growth,10,15.9
23,compounded_profit_growth,5,17.1
23,compounded_profit_growth,3,15.4
23,stock_price_cagr,10,7.8
23,stock_price_cagr,5,9.0
23,stock_price_cagr,3,7.3
23,roe,10,21.4
23,roe,5,22.6
23,roe,3,20.9
24,compounded_sales_growth,10,22.5
24,compounded_sales_growth,5,23.7
24,compounded_sales_growth,3,22.0
24,compounded_profit_growth,10,17.9
24,compounded_profit_growth,5,19.1
24,compounded_profit_growth,3,17.4
24,stock_price_cagr,10,22.7
24,stock_price_cagr,5,23.9
24,stock_price_cagr,3,22.2
24,roe,10,16.4
24,roe,5,17.6
24,roe,3,15.9
25,compounded_sales_growth,10,17.0
25,compounded_sales_growth,5,18.2
25,compounded_sales_growth,3,16.5
25,compounded_profit_growth,10,14.8
25,compounded_profit_growth,5,16.0
25,compounded_profit_growth,3,14.3
25,stock_price_cagr,10,5.6
25,stock_price_cagr,5,6.8
25,stock_price_cagr,3,5.1
25,roe,10,7.5
25,roe,5,8.7
25,roe,3,7.0
26,compounded_sales_growth,10,5.7
26,compounded_sales_growth,5,6.9
26,compounded_sales_growth,3,5.2
26,compounded_profit_growth,10,19.6
26,compounded_profit_growth,5,20.8
26,compounded_profit_growth,3,19.1
26,stock_price_cagr,10,12.2
26,stock_price_cagr,5,13.4
26,stock_price_cagr,3,11.7
26,roe,10,16.7
26,roe,5,17.9
26,roe,3,16.2
27,compounded_sales_growth,10,25.9
27,compounded_sales_growth,5,27.1
27,compounded_sales_growth,3,25.4
27,compounded_profit_growth,10,10.7
27,compounded_profit_growth,5,11.9
27,compounded_profit_growth,3,10.2
27,stock_price_cagr,10,14.4
27,stock_price_cagr,5,15.6
27,stock_price_cagr,3,13.9
27,roe,10,22.4
27,roe,5,23.6
27,roe,3,21.9
28,compounded_sales_growth,10,10.3
28,compounded_sales_growth,5,11.5
28,compounded_sales_growth,3,9.8
28,compounded_profit_growth,10,6.8
28,compounded_profit_growth,5,8.0
28,compounded_profit_growth,3,6.3
28,stock_price_cagr,10,11.7
28,stock_price_cagr,5,12.9
28,stock_price_cagr,3,11.2
28,roe,10,8.7
28,roe,5,9.9
28,roe,3,8.2
29,compounded_sales_growth,10,26.4
29,compounded_sales_growth,5,27.6
29,compounded_sales_growth,3,25.9
29,compounded_profit_growth,10,23.6
29,compounded_profit_growth,5,24.8
29,compounded_profit_growth,3,23.1
29,stock_price_cagr,10,19.6
29,stock_price_cagr,5,20.8
29,stock_price_cagr,3,19.1
29,roe,10,25.0
29,roe,5,26.2
29,roe,3,24.5
30,compounded_sales_growth,10,23.5
30,compounded_sales_growth,5,24.7
30,compounded_sales_growth,3,23.0
30,compounded_profit_growth,10,9.3
30,compounded_profit_growth,5,10.5
30,compounded_profit_growth,3,8.8
30,stock_price_cagr,10,25.5
30,stock_price_cagr,5,26.7
30,stock_price_cagr,3,25.0
30,roe,10,17.4
30,roe,5,18.6
30,roe,3,16.9
31,compounded_sales_growth,10,23.6
31,compounded_sales_growth,5,24.8
31,compounded_sales_growth,3,23.1
31,compounded_profit_growth,10,25.6
31,compounded_profit_growth,5,26.8
31,compounded_profit_growth,3,25.1
31,stock_price_cagr,10,12.3
31,stock_price_cagr,5,13.5
31,stock_price_cagr,3,11.8
31,roe,10,7.5
31,roe,5,8.7
31,roe,3,7.0
32,compounded_sales_growth,10,10.2
32,compounded_sales_growth,5,11.4
32,compounded_sales_growth,3,9.7
32,compounded_profit_growth,10,14.8
32,compounded_profit_growth,5,16.0
32,compounded_profit_growth,3,14.3
32,stock_price_cagr,10,23.8
32,stock_price_cagr,5,25.0
32,stock_price_cagr,3,23.3
32,roe,10,24.8
32,roe,5,26.0
32,roe,3,24.3
33,compounded_sales_growth,10,5.2
33,compounded_sales_growth,5,6.4
33,compounded_sales_growth,3,4.7
33,compounded_profit_growth,10,16.7
33,compounded_profit_growth,5,17.9
33,compounded_profit_growth,3,16.2
33,stock_price_cagr,10,14.6
33,stock_price_cagr,5,15.8
33,stock_price_cagr,3,14.1
33,roe,10,10.1
33,roe,5,11.3
33,roe,3,9.6
34,compounded_sales_growth,10,7.8
34,compounded_sales_growth,5,9.0
34,compounded_sales_growth,3,7.3
34,compounded_profit_growth,10,12.8
34,compounded_profit_growth,5,14.0
34,compounded_profit_growth,3,12.3
34,stock_price_cagr,10,26.7
34,stock_price_cagr,5,27.9
34,stock_price_cagr,3,26.2
34,roe,10,12.4
34,roe,5,13.6
34,roe,3,11.9
35,compounded_sales_growth,10,16.9
35,compounded_sales_growth,5,18.1
35,compounded_sales_growth,3,16.4
35,compounded_profit_growth,10,21.2
35,compounded_profit_growth,5,22.4
35,compounded_profit_growth,3,20.7
35,stock_price_cagr,10,13.4
35,stock_price_cagr,5,14.6
35,stock_price_cagr,3,12.9
35,roe,10,27.4
35,roe,5,28.6
35,roe,3,26.9
36,compounded_sales_growth,10,27.1
36,compounded_sales_growth,5,28.3
36,compounded_sales_growth,3,26.6
36,compounded_profit_growth,10,10.8
36,compounded_profit_growth,5,12.0
36,compounded_profit_growth,3,10.3
36,stock_price_cagr,10,16.4
36,stock_price_cagr,5,17.6
36,stock_price_cagr,3,15.9
36,roe,10,11.9
36,roe,5,13.1
36,roe,3,11.4
37,compounded_sales_growth,10,11.6
37,compounded_sales_growth,5,12.8
37,compounded_sales_growth,3,11.1
37,compounded_profit_growth,10,5.8
37,compounded_profit_growth,5,7.0
37,compounded_profit_growth,3,5.3
37,stock_price_cagr,10,19.0
37,stock_price_cagr,5,20.2
37,stock_price_cagr,3,18.5
37,roe,10,16.6
37,roe,5,17.8
37,roe,3,16.1
38,compounded_sales_growth,10,6.2
38,compounded_sales_growth,5,7.4
38,compounded_sales_growth,3,5.7
38,compounded_profit_growth,10,11.4
38,compounded_profit_growth,5,12.6
38,compounded_profit_growth,3,10.9
38,stock_price_cagr,10,25.9
38,stock_price_cagr,5,27.1
38,stock_price_cagr,3,25.4
38,roe,10,10.5
38,roe,5,11.7
38,roe,3,10.0
39,compounded_sales_growth,10,8.3
39,compounded_sales_growth,5,9.5
39,compounded_sales_growth,3,7.8
39,compounded_profit_growth,10,16.3
39,compounded_profit_growth,5,17.5
39,compounded_profit_growth,3,15.8
39,stock_price_cagr,10,27.7
39,stock_price_cagr,5,28.9
39,stock_price_cagr,3,27.2
39,roe,10,10.6
39,roe,5,11.8
39,roe,3,10.1
40,compounded_sales_growth,10,20.5
40,compounded_sales_growth,5,21.7
40,compounded_sales_growth,3,20.0
40,compounded_profit_growth,10,22.5
40,compounded_profit_growth,5,23.7
40,compounded_profit_growth,3,22.0
40,stock_price_cagr,10,10.5
40,stock_price_cagr,5,11.7
40,stock_price_cagr,3,10.0
40,roe,10,21.7
40,roe,5,22.9
40,roe,3,21.2
41,compounded_sales_growth,10,13.5
41,compounded_sales_growth,5,14.7
41,compounded_sales_growth,3,13.0
41,compounded_profit_growth,10,19.5
41,compounded_profit_growth,5,20.7
41,compounded_profit_growth,3,19.0
41,stock_price_cagr,10,19.6
41,stock_price_cagr,5,20.8
41,stock_price_cagr,3,19.1
41,roe,10,17.3
41,roe,5,18.5
41,roe,3,16.8
42,compounded_sales_growth,10,7.1
42,compounded_sales_growth,5,8.3
42,compounded_sales_growth,3,6.6
42,compounded_profit_growth,10,24.2
42,compounded_profit_growth,5,25.4
42,compounded_profit_growth,3,23.7
42,stock_price_cagr,10,12.4
42,stock_price_cagr,5,13.6
42,stock_price_cagr,3,11.9
42,roe,10,9.3
42,roe,5,10.5
42,roe,3,8.8
43,compounded_sales_growth,10,5.9
43,compounded_sales_growth,5,7.1
43,compounded_sales_growth,3,5.4
43,compounded_profit_growth,10,18.6
43,compounded_profit_growth,5,19.8
43,compounded_profit_growth,3,18.1
43,stock_price_cagr,10,20.6
43,stock_price_cagr,5,21.8
43,stock_price_cagr,3,20.1
43,roe,10,5.4
43,roe,5,6.6
43,roe,3,4.9
44,compounded_sales_growth,10,16.8
44,compounded_sales_growth,5,18.0
44,compounded_sales_growth,3,16.3
44,compounded_profit_growth,10,10.2
44,compounded_profit_growth,5,11.4
44,compounded_profit_growth,3,9.7
44,stock_price_cagr,10,19.8
44,stock_price_cagr,5,21.0
44,stock_price_cagr,3,19.3
44,roe,10,9.0
44,roe,5,10.2
44,roe,3,8.5
45,compounded_sales_growth,10,20.9
45,compounded_sales_growth,5,22.1
45,compounded_sales_growth,3,20.4
45,compounded_profit_growth,10,13.9
45,compounded_profit_growth,5,15.1
45,compounded_profit_growth,3,13.4
45,stock_price_cagr,10,26.5
45,stock_price_cagr,5,27.7
45,stock_price_cagr,3,26.0
45,roe,10,8.2
45,roe,5,9.4
45,roe,3,7.7
46,compounded_sales_growth,10,12.8
46,compounded_sales_growth,5,14.0
46,compounded_sales_growth,3,12.3
46,compounded_profit_growth,10,7.6
46,compounded_profit_growth,5,8.8
46,compounded_profit_growth,3,7.1
46,stock_price_cagr,10,26.3
46,stock_price_cagr,5,27.5
46,stock_price_cagr,3,25.8
46,roe,10,25.2
46,roe,5,26.4
46,roe,3,24.7
47,compounded_sales_growth,10,10.9
47,compounded_sales_growth,5,12.1
47,compounded_sales_growth,3,10.4
47,compounded_profit_growth,10,20.2
47,compounded_profit_growth,5,21.4
47,compounded_profit_growth,3,19.7
47,stock_price_cagr,10,23.8
47,stock_price_cagr,5,25.0
47,stock_price_cagr,3,23.3
47,roe,10,17.8
47,roe,5,19.0
47,roe,3,17.3
48,compounded_sales_growth,10,17.2
48,compounded_sales_growth,5,18.4
48,compounded_sales_growth,3,16.7
48,compounded_profit_growth,10,10.6
48,compounded_profit_growth,5,11.8
48,compounded_profit_growth,3,10.1
48,stock_price_cagr,10,7.1
48,stock_price_cagr,5,8.3
48,stock_price_cagr,3,6.6
48,roe,10,25.6
48,roe,5,26.8
48,roe,3,25.1
49,compounded_sales_growth,10,25.7
49,compounded_sales_growth,5,26.9
49,compounded_sales_growth,3,25.2
49,compounded_profit_growth,10,19.6
49,compounded_profit_growth,5,20.8
49,compounded_profit_growth,3,19.1
49,stock_price_cagr,10,12.8
49,stock_price_cagr,5,14.0
49,stock_price_cagr,3,12.3
49,roe,10,13.0
49,roe,5,14.2
49,roe,3,12.5
50,compounded_sales_growth,10,21.7
50,compounded_sales_growth,5,22.9
50,compounded_sales_growth,3,21.2
50,compounded_profit_growth,10,25.6
50,compounded_profit_growth,5,26.8
50,compounded_profit_growth,3,25.1
50,stock_price_cagr,10,25.4
50,stock_price_cagr,5,26.6
50,stock_price_cagr,3,24.9
50,roe,10,22.9
50,roe,5,24.1
50,roe,3,22.4
51,compounded_sales_growth,10,19.8
51,compounded_sales_growth,5,21.0
51,compounded_sales_growth,3,19.3
51,compounded_profit_growth,10,6.9
51,compounded_profit_growth,5,8.1
51,compounded_profit_growth,3,6.4
51,stock_price_cagr,10,8.7
51,stock_price_cagr,5,9.9
51,stock_price_cagr,3,8.2
51,roe,10,25.7
51,roe,5,26.9
51,roe,3,25.2
52,compounded_sales_growth,10,18.9
52,compounded_sales_growth,5,20.1
52,compounded_sales_growth,3,18.4
52,compounded_profit_growth,10,5.2
52,compounded_profit_growth,5,6.4
52,compounded_profit_growth,3,4.7
52,stock_price_cagr,10,7.3
52,stock_price_cagr,5,8.5
52,stock_price_cagr,3,6.8
52,roe,10,20.3
52,roe,5,21.5
52,roe,3,19.8
53,compounded_sales_growth,10,5.1
53,compounded_sales_growth,5,6.3
53,compounded_sales_growth,3,4.6
53,compounded_profit_growth,10,8.7
53,compounded_profit_growth,5,9.9
53,compounded_profit_growth,3,8.2
53,stock_price_cagr,10,17.6
53,stock_price_cagr,5,18.8
53,stock_price_cagr,3,17.1
53,roe,10,20.9
53,roe,5,22.1
53,roe,3,20.4
54,compounded_sales_growth,10,20.0
54,compounded_sales_growth,5,21.2
54,compounded_sales_growth,3,19.5
54,compounded_profit_growth,10,10.2
54,compounded_profit_growth,5,11.4
54,compounded_profit_growth,3,9.7
54,stock_price_cagr,10,21.4
54,stock_price_cagr,5,22.6
54,stock_price_cagr,3,20.9
54,roe,10,10.5
54,roe,5,11.7
54,roe,3,10.0
55,compounded_sales_growth,10,12.5
55,compounded_sales_growth,5,13.7
55,compounded_sales_growth,3,12.0
55,compounded_profit_growth,10,22.2
55,compounded_profit_growth,5,23.4
55,compounded_profit_growth,3,21.7
55,stock_price_cagr,10,19.9
55,stock_price_cagr,5,21.1
55,stock_price_cagr,3,19.4
55,roe,10,24.5
55,roe,5,25.7
55,roe,3,24.0
56,compounded_sales_growth,10,20.1
56,compounded_sales_growth,5,21.3
56,compounded_sales_growth,3,19.6
56,compounded_profit_growth,10,18.1
56,compounded_profit_growth,5,19.3
56,compounded_profit_growth,3,17.6
56,stock_price_cagr,10,7.2
56,stock_price_cagr,5,8.4
56,stock_price_cagr,3,6.7
56,roe,10,13.5
56,roe,5,14.7
56,roe,3,13.0
57,compounded_sales_growth,10,11.1
57,compounded_sales_growth,5,12.3
57,compounded_sales_growth,3,10.6
57,compounded_profit_growth,10,10.6
57,compounded_profit_growth,5,11.8
57,compounded_profit_growth,3,10.1
57,stock_price_cagr,10,27.4
57,stock_price_cagr,5,28.6
57,stock_price_cagr,3,26.9
57,roe,10,14.0
57,roe,5,15.2
57,roe,3,13.5
58,compounded_sales_growth,10,25.5
58,compounded_sales_growth,5,26.7
58,compounded_sales_growth,3,25.0
58,compounded_profit_growth,10,19.5
58,compounded_profit_growth,5,20.7
58,compounded_profit_growth,3,19.0
58,stock_price_cagr,10,23.3
58,stock_price_cagr,5,24.5
58,stock_price_cagr,3,22.8
58,roe,10,16.6
58,roe,5,17.8
58,roe,3,16.1
59,compounded_sales_growth,10,18.3
59,compounded_sales_growth,5,19.5
59,compounded_sales_growth,3,17.8
59,compounded_profit_growth,10,16.3
59,compounded_profit_growth,5,17.5
59,compounded_profit_growth,3,15.8
59,stock_price_cagr,10,9.5
59,stock_price_cagr,5,10.7
59,stock_price_cagr,3,9.0
59,roe,10,21.6
59,roe,5,22.8
59,roe,3,21.1
60,compounded_sales_growth,10,11.5
60,compounded_sales_growth,5,12.7
60,compounded_sales_growth,3,11.0
60,compounded_profit_growth,10,5.6
60,compounded_profit_growth,5,6.8
60,compounded_profit_growth,3,5.1
60,stock_price_cagr,10,19.8
60,stock_price_cagr,5,21.0
60,stock_price_cagr,3,19.3
60,roe,10,9.1
60,roe,5,10.3
60,roe,3,8.6
61,compounded_sales_growth,10,26.6
61,compounded_sales_growth,5,27.8
61,compounded_sales_growth,3,26.1
61,compounded_profit_growth,10,26.9
61,compounded_profit_growth,5,28.1
61,compounded_profit_growth,3,26.4
61,stock_price_cagr,10,26.0
61,stock_price_cagr,5,27.2
61,stock_price_cagr,3,25.5
61,roe,10,13.5
61,roe,5,14.7
61,roe,3,13.0
62,compounded_sales_growth,10,5.4
62,compounded_sales_growth,5,6.6
62,compounded_sales_growth,3,4.9
62,compounded_profit_growth,10,26.4
62,compounded_profit_growth,5,27.6
62,compounded_profit_growth,3,25.9
62,stock_price_cagr,10,14.8
62,stock_price_cagr,5,16.0
62,stock_price_cagr,3,14.3
62,roe,10,27.2
62,roe,5,28.4
62,roe,3,26.7
63,compounded_sales_growth,10,27.2
63,compounded_sales_growth,5,28.4
63,compounded_sales_growth,3,26.7
63,compounded_profit_growth,10,24.6
63,compounded_profit_growth,5,25.8
63,compounded_profit_growth,3,24.1
63,stock_price_cagr,10,11.8
63,stock_price_cagr,5,13.0
63,stock_price_cagr,3,11.3
63,roe,10,13.9
63,roe,5,15.1
63,roe,3,13.4
64,compounded_sales_growth,10,24.6
64,compounded_sales_growth,5,25.8
64,compounded_sales_growth,3,24.1
64,compounded_profit_growth,10,12.3
64,compounded_profit_growth,5,13.5
64,compounded_profit_growth,3,11.8
64,stock_price_cagr,10,8.9
64,stock_price_cagr,5,10.1
64,stock_price_cagr,3,8.4
64,roe,10,17.8
64,roe,5,19.0
64,roe,3,17.3
65,compounded_sales_growth,10,26.5
65,compounded_sales_growth,5,27.7
65,compounded_sales_growth,3,26.0
65,compounded_profit_growth,10,21.0
65,compounded_profit_growth,5,22.2
65,compounded_profit_growth,3,20.5
65,stock_price_cagr,10,18.1
65,stock_price_cagr,5,19.3
65,stock_price_cagr,3,17.6
65,roe,10,7.2
65,roe,5,8.4
65,roe,3,6.7
66,compounded_sales_growth,10,19.1
66,compounded_sales_growth,5,20.3
66,compounded_sales_growth,3,18.6
66,compounded_profit_growth,10,27.8
66,compounded_profit_growth,5,29.0
66,compounded_profit_growth,3,27.3
66,stock_price_cagr,10,8.2
66,stock_price_cagr,5,9.4
66,stock_price_cagr,3,7.7
66,roe,10,16.9
66,roe,5,18.1
66,roe,3,16.4
67,compounded_sales_growth,10,25.2
67,compounded_sales_growth,5,26.4
67,compounded_sales_growth,3,24.7
67,compounded_profit_growth,10,22.0
67,compounded_profit_growth,5,23.2
67,compounded_profit_growth,3,21.5
67,stock_price_cagr,10,21.0
67,stock_price_cagr,5,22.2
67,stock_price_cagr,3,20.5
67,roe,10,21.2
67,roe,5,22.4
67,roe,3,20.7
68,compounded_sales_growth,10,13.3
68,compounded_sales_growth,5,14.5
68,compounded_sales_growth,3,12.8
68,compounded_profit_growth,10,11.8
68,compounded_profit_growth,5,13.0
68,compounded_profit_growth,3,11.3
68,stock_price_cagr,10,23.6
68,stock_price_cagr,5,24.8
68,stock_price_cagr,3,23.1
68,roe,10,23.6
68,roe,5,24.8
68,roe,3,23.1
69,compounded_sales_growth,10,24.9
69,compounded_sales_growth,5,26.1
69,compounded_sales_growth,3,24.4
69,compounded_profit_growth,10,26.0
69,compounded_profit_growth,5,27.2
69,compounded_profit_growth,3,25.5
69,stock_price_cagr,10,16.8
69,stock_price_cagr,5,18.0
69,stock_price_cagr,3,16.3
69,roe,10,16.5
69,roe,5,17.7
69,roe,3,16.0
70,compounded_sales_growth,10,23.4
70,compounded_sales_growth,5,24.6
70,compounded_sales_growth,3,22.9
70,compounded_profit_growth,10,19.9
70,compounded_profit_growth,5,21.1
70,compounded_profit_growth,3,19.4
70,stock_price_cagr,10,21.1
70,stock_price_cagr,5,22.3
70,stock_price_cagr,3,20.6
70,roe,10,23.3
70,roe,5,24.5
70,roe,3,22.8
71,compounded_sales_growth,10,25.5
71,compounded_sales_growth,5,26.7
71,compounded_sales_growth,3,25.0
71,compounded_profit_growth,10,12.8
71,compounded_profit_growth,5,14.0
71,compounded_profit_growth,3,12.3
71,stock_price_cagr,10,13.6
71,stock_price_cagr,5,14.8
71,stock_price_cagr,3,13.1
71,roe,10,7.2
71,roe,5,8.4
71,roe,3,6.7
72,compounded_sales_growth,10,18.3
72,compounded_sales_growth,5,19.5
72,compounded_sales_growth,3,17.8
72,compounded_profit_growth,10,5.8
72,compounded_profit_growth,5,7.0
72,compounded_profit_growth,3,5.3
72,stock_price_cagr,10,15.7
72,stock_price_cagr,5,16.9
72,stock_price_cagr,3,15.2
72,roe,10,17.5
72,roe,5,18.7
72,roe,3,17.0
73,compounded_sales_growth,10,11.6
73,compounded_sales_growth,5,12.8
73,compounded_sales_growth,3,11.1
73,compounded_profit_growth,10,18.6
73,compounded_profit_growth,5,19.8
73,compounded_profit_growth,3,18.1
73,stock_price_cagr,10,5.7
